"location","x","y","acute_time","acute_care_centre","rehab_time","rehab_centre"
"Kureelpa",152.8837,-26.60834,97,"Royal Brisbane and Women's Hospital",34,"Sunshine Coast University Hospital "
"Yuleba",149.381,-26.61304,244,"Princess Alexandra Hospital",42,"Roma Hospital"
"Quilpie",144.2683,-26.61502,339,"Princess Alexandra Hospital",304,"Roma Hospital"
"Mapleton",152.8651,-26.62074,98,"Royal Brisbane and Women's Hospital",35,"Sunshine Coast University Hospital "
"Nambour",152.9592,-26.62753,123,"Royal Brisbane and Women's Hospital",25,"Sunshine Coast University Hospital "
"Kiels Mountain",153.001,-26.6527,120,"Royal Brisbane and Women's Hospital",22,"Sunshine Coast University Hospital "
"Flaxton",152.8647,-26.65557,134,"Royal Brisbane and Women's Hospital",36,"Sunshine Coast University Hospital "
"Miles",150.1857,-26.65858,214,"Princess Alexandra Hospital",94,"Roma Hospital"
"Woombye",152.9666,-26.66148,119,"Royal Brisbane and Women's Hospital",21,"Sunshine Coast University Hospital "
"Nanango",151.9992,-26.6713,125,"Princess Alexandra Hospital",91,"Gympie Hospital"
"Palmwoods",152.9568,-26.69113,123,"Royal Brisbane and Women's Hospital",25,"Sunshine Coast University Hospital "
"Witta",152.8107,-26.70454,138,"Royal Brisbane and Women's Hospital",40,"Sunshine Coast University Hospital "
"Chinchilla",150.628,-26.74202,205,"Princess Alexandra Hospital",127,"Roma Hospital"
"Maleny",152.848,-26.75878,96,"Royal Brisbane and Women's Hospital",31,"Sunshine Coast University Hospital "
"Mooloolah",152.9616,-26.76553,116,"Royal Brisbane and Women's Hospital",18,"Sunshine Coast University Hospital "
"Glenview",153.0204,-26.76952,111,"Royal Brisbane and Women's Hospital",13,"Sunshine Coast University Hospital "
"Jandowae",151.1101,-26.78068,194,"Princess Alexandra Hospital",156,"Gympie Hospital"
"Landsborough",152.9652,-26.80826,115,"Royal Brisbane and Women's Hospital",17,"Sunshine Coast University Hospital "
"Yarraman",151.9796,-26.84046,125,"Princess Alexandra Hospital",105,"Gympie Hospital"
"Peachester",152.8871,-26.84242,94,"Royal Brisbane and Women's Hospital",31,"Sunshine Coast University Hospital "
"Beerwah",152.954,-26.85293,93,"Royal Brisbane and Women's Hospital",21,"Sunshine Coast University Hospital "
"Blackbutt",152.1042,-26.88722,125,"Princess Alexandra Hospital",98,"Sunshine Coast University Hospital "
"Glass House Mountain",152.9507,-26.89771,68,"Royal Brisbane and Women's Hospital",25,"Sunshine Coast University Hospital "
"Bell",151.4491,-26.93176,130,"Princess Alexandra Hospital",148,"Gympie Hospital"
"Beerburrum - North",152.957,-26.93545,62,"Royal Brisbane and Women's Hospital",25,"Sunshine Coast University Hospital "
"Kilcoy",152.5638,-26.94019,103,"Royal Brisbane and Women's Hospital",60,"Sunshine Coast University Hospital "
"Woodford",152.778,-26.95557,73,"Royal Brisbane and Women's Hospital",48,"Sunshine Coast University Hospital "
"Beerburrum",152.955,-26.96138,62,"Royal Brisbane and Women's Hospital",28,"Sunshine Coast University Hospital "
"D'Aguilar",152.7984,-26.98884,68,"Royal Brisbane and Women's Hospital",45,"Sunshine Coast University Hospital "
"Delaneys Creek",152.7971,-27.00308,68,"Royal Brisbane and Women's Hospital",46,"Sunshine Coast University Hospital "
"Donnybrook",153.0662,-27.00662,62,"Royal Brisbane and Women's Hospital",31,"Sunshine Coast University Hospital "
"Toorbul",153.0991,-27.03348,64,"Royal Brisbane and Women's Hospital",37,"Sunshine Coast University Hospital "
"Wamuran",152.8643,-27.04069,60,"Royal Brisbane and Women's Hospital",38,"Sunshine Coast University Hospital "
"Ningi",153.1051,-27.06703,63,"Royal Brisbane and Women's Hospital",41,"Sunshine Coast University Hospital "
"Woorim",153.2035,-27.07303,76,"Royal Brisbane and Women's Hospital",54,"Sunshine Coast University Hospital "
"Sandstone Point",153.1273,-27.08295,66,"Royal Brisbane and Women's Hospital",44,"Sunshine Coast University Hospital "
"Bongaree",153.1626,-27.08546,73,"Royal Brisbane and Women's Hospital",51,"Sunshine Coast University Hospital "
"Toogoolawah",152.3753,-27.08821,105,"Royal Brisbane and Women's Hospital",83,"Brain Injury Rehabilitation Unit"
"Beachmere",153.0514,-27.12968,59,"Royal Brisbane and Women's Hospital",40,"Sunshine Coast University Hospital "
"Surat",149.0666,-27.15384,236,"Princess Alexandra Hospital",53,"Roma Hospital"
"Dalby",151.261,-27.18328,130,"Princess Alexandra Hospital",138,"Brain Injury Rehabilitation Unit"
"Dayboro",152.8215,-27.19792,60,"Royal Brisbane and Women's Hospital",49,"Brain Injury Rehabilitation Unit"
"Esk",152.4179,-27.23674,106,"Royal Brisbane and Women's Hospital",70,"Brain Injury Rehabilitation Unit"
"Crows Nest",152.0506,-27.26153,138,"Princess Alexandra Hospital",112,"Brain Injury Rehabilitation Unit"
"Tara",150.4556,-27.27772,166,"Princess Alexandra Hospital",149,"Roma Hospital"
"Goombungee",151.8502,-27.30485,134,"Princess Alexandra Hospital",112,"Brain Injury Rehabilitation Unit"
"Mount Glorious",152.7701,-27.33397,58,"Royal Brisbane and Women's Hospital",48,"Brain Injury Rehabilitation Unit"
"Samford Valley - Highvale",152.8394,-27.36508,45,"Royal Brisbane and Women's Hospital",36,"Brain Injury Rehabilitation Unit"
"Samford",152.8849,-27.37146,40,"Royal Brisbane and Women's Hospital",31,"Brain Injury Rehabilitation Unit"
"Mount Nebo",152.7795,-27.39084,55,"Royal Brisbane and Women's Hospital",44,"Brain Injury Rehabilitation Unit"
"Coominya",152.5023,-27.3916,95,"Princess Alexandra Hospital",59,"Brain Injury Rehabilitation Unit"
"Amity Point",153.44,-27.39664,87,"Princess Alexandra Hospital",99,"Brain Injury Rehabilitation Unit"
"Meringandan West",151.8819,-27.41789,124,"Princess Alexandra Hospital",106,"Brain Injury Rehabilitation Unit"
"Meringandan",151.9132,-27.42327,123,"Princess Alexandra Hospital",104,"Brain Injury Rehabilitation Unit"
"Point Lookout",153.5377,-27.43022,92,"Princess Alexandra Hospital",102,"Brain Injury Rehabilitation Unit"
"Oakey",151.7183,-27.43202,127,"Princess Alexandra Hospital",105,"Brain Injury Rehabilitation Unit"
"Fernvale",152.6594,-27.45012,91,"Royal Brisbane and Women's Hospital",44,"Brain Injury Rehabilitation Unit"
"Lowood",152.5763,-27.46078,65,"Princess Alexandra Hospital",50,"Brain Injury Rehabilitation Unit"
"Murphys Creek",152.0567,-27.46123,122,"Princess Alexandra Hospital",80,"Brain Injury Rehabilitation Unit"
"Highfields",151.9481,-27.46253,116,"Princess Alexandra Hospital",96,"Brain Injury Rehabilitation Unit"
"Brisbane",153.0249,-27.47072,24,"Royal Brisbane and Women's Hospital",8,"Brain Injury Rehabilitation Unit"
"Kingsthorpe",151.8191,-27.47543,120,"Princess Alexandra Hospital",98,"Brain Injury Rehabilitation Unit"
"Gowrie Junction",151.8928,-27.49125,115,"Princess Alexandra Hospital",93,"Brain Injury Rehabilitation Unit"
"Lockrose",152.4579,-27.49448,71,"Princess Alexandra Hospital",56,"Brain Injury Rehabilitation Unit"
"Dunwich",153.4038,-27.49776,86,"Princess Alexandra Hospital",83,"Brain Injury Rehabilitation Unit"
"Blue Mountain Heights",151.9612,-27.50364,112,"Princess Alexandra Hospital",91,"Brain Injury Rehabilitation Unit"
"Gowrie Mountain",151.8228,-27.51137,116,"Princess Alexandra Hospital",94,"Brain Injury Rehabilitation Unit"
"Brightview",152.4916,-27.51975,66,"Princess Alexandra Hospital",51,"Brain Injury Rehabilitation Unit"
"Cecil Plains",151.1936,-27.53233,161,"Princess Alexandra Hospital",138,"Brain Injury Rehabilitation Unit"
"Minden Village",152.5591,-27.5357,62,"Princess Alexandra Hospital",47,"Brain Injury Rehabilitation Unit"
"Kensington Grove - Regency Downs",152.4572,-27.53986,95,"Princess Alexandra Hospital",51,"Brain Injury Rehabilitation Unit"
"Glenore Grove",152.4122,-27.54114,96,"Princess Alexandra Hospital",54,"Brain Injury Rehabilitation Unit"
"Helidon",152.1254,-27.54838,119,"Princess Alexandra Hospital",71,"Brain Injury Rehabilitation Unit"
"Prince Henry Heights",151.9905,-27.55295,108,"Princess Alexandra Hospital",87,"Brain Injury Rehabilitation Unit"
"Withcott",152.026,-27.55364,110,"Princess Alexandra Hospital",77,"Brain Injury Rehabilitation Unit"
"Placid Hills",152.2504,-27.5578,97,"Princess Alexandra Hospital",67,"Brain Injury Rehabilitation Unit"
"Gatton",152.2751,-27.56033,97,"Princess Alexandra Hospital",63,"Brain Injury Rehabilitation Unit"
"Toowoomba",151.9528,-27.56216,103,"Princess Alexandra Hospital",88,"Brain Injury Rehabilitation Unit"
"Coochiemudlo Island",153.3328,-27.56886,84,"Princess Alexandra Hospital",44,"Brain Injury Rehabilitation Unit"
"Marburg",152.5954,-27.56895,55,"Princess Alexandra Hospital",40,"Brain Injury Rehabilitation Unit"
"Grantham",152.2012,-27.57374,96,"Princess Alexandra Hospital",70,"Brain Injury Rehabilitation Unit"
"Plainland",152.4165,-27.57656,67,"Princess Alexandra Hospital",52,"Brain Injury Rehabilitation Unit"
"Forest Hill",152.3549,-27.58999,73,"Princess Alexandra Hospital",58,"Brain Injury Rehabilitation Unit"
"Macleay Island",153.3615,-27.59184,86,"Princess Alexandra Hospital",74,"Brain Injury Rehabilitation Unit"
"Walloon",152.6725,-27.60325,55,"Princess Alexandra Hospital",40,"Brain Injury Rehabilitation Unit"
"Westbrook",151.8757,-27.60355,111,"Princess Alexandra Hospital",100,"Brain Injury Rehabilitation Unit"
"Lamb Island",153.3798,-27.62387,76,"Princess Alexandra Hospital",72,"Brain Injury Rehabilitation Unit"
"Thagoona",152.6257,-27.62401,57,"Princess Alexandra Hospital",42,"Brain Injury Rehabilitation Unit"
"Laidley",152.3938,-27.63099,88,"Princess Alexandra Hospital",58,"Brain Injury Rehabilitation Unit"
"Rosewood",152.5889,-27.63446,60,"Princess Alexandra Hospital",45,"Brain Injury Rehabilitation Unit"
"Mount Cotton",153.2508,-27.63515,47,"Princess Alexandra Hospital",32,"Brain Injury Rehabilitation Unit"
"Laidley Heights",152.3675,-27.63571,90,"Princess Alexandra Hospital",65,"Brain Injury Rehabilitation Unit"
"Wyreema",151.8542,-27.65743,114,"Princess Alexandra Hospital",103,"Brain Injury Rehabilitation Unit"
"Ripley",152.7864,-27.66642,47,"Princess Alexandra Hospital",32,"Brain Injury Rehabilitation Unit"
"Southbrook",151.7128,-27.67579,124,"Princess Alexandra Hospital",106,"Brain Injury Rehabilitation Unit"
"Russell Island",153.3905,-27.68322,77,"Princess Alexandra Hospital",79,"Brain Injury Rehabilitation Unit"
"Deebing Heights",152.7546,-27.69709,51,"Princess Alexandra Hospital",36,"Brain Injury Rehabilitation Unit"
"Cambooya",151.8615,-27.70633,118,"Princess Alexandra Hospital",107,"Brain Injury Rehabilitation Unit"
"Pittsworth",151.6329,-27.71797,130,"Princess Alexandra Hospital",112,"Brain Injury Rehabilitation Unit"
"Cabbage Tree Point",153.3552,-27.73664,46,"Gold Coast University Hospital",31,"Gold Coast University Hospital"
"Logan Village",153.1134,-27.77455,56,"Princess Alexandra Hospital",41,"Brain Injury Rehabilitation Unit"
"Jacobs Well",153.3629,-27.78179,41,"Gold Coast University Hospital",26,"Gold Coast University Hospital"
"Greenmount",151.9059,-27.78299,121,"Princess Alexandra Hospital",109,"Brain Injury Rehabilitation Unit"
"Peak Crossing",152.7294,-27.78404,57,"Princess Alexandra Hospital",42,"Brain Injury Rehabilitation Unit"
"Harrisville",152.6677,-27.81036,64,"Princess Alexandra Hospital",49,"Brain Injury Rehabilitation Unit"
"Jimboomba - West",152.9618,-27.81259,55,"Princess Alexandra Hospital",40,"Brain Injury Rehabilitation Unit"
"Jimboomba",153.0307,-27.83265,53,"Princess Alexandra Hospital",38,"Brain Injury Rehabilitation Unit"
"Mundoolun",153.0767,-27.86482,65,"Princess Alexandra Hospital",50,"Brain Injury Rehabilitation Unit"
"Cedar Grove",152.9843,-27.86655,58,"Princess Alexandra Hospital",43,"Brain Injury Rehabilitation Unit"
"Millmerran",151.2671,-27.87814,130,"Princess Alexandra Hospital",138,"Brain Injury Rehabilitation Unit"
"Cedar Vale",153.002,-27.87876,58,"Princess Alexandra Hospital",43,"Brain Injury Rehabilitation Unit"
"Tamborine",153.1285,-27.88138,58,"Gold Coast University Hospital",43,"Gold Coast University Hospital"
"Eagle Heights",153.2054,-27.92251,49,"Gold Coast University Hospital",34,"Gold Coast University Hospital"
"Clifton",151.9083,-27.92996,134,"Princess Alexandra Hospital",121,"Brain Injury Rehabilitation Unit"
"Maudsland",153.2774,-27.93276,31,"Gold Coast University Hospital",17,"Gold Coast University Hospital"
"Kalbar",152.6229,-27.94196,99,"Princess Alexandra Hospital",58,"Brain Injury Rehabilitation Unit"
"Gleneagle",152.9918,-27.94234,66,"Princess Alexandra Hospital",51,"Brain Injury Rehabilitation Unit"
"Boyland",153.1642,-27.94939,55,"Gold Coast University Hospital",40,"Gold Coast University Hospital"
"Mount Tamborine",153.2014,-27.97114,45,"Gold Coast University Hospital",30,"Gold Coast University Hospital"
"Mount Nathan",153.2639,-27.97678,38,"Gold Coast University Hospital",23,"Gold Coast University Hospital"
"Aratula",152.5384,-27.98409,77,"Princess Alexandra Hospital",62,"Brain Injury Rehabilitation Unit"
"Beaudesert",152.9992,-27.98632,75,"Princess Alexandra Hospital",58,"Gold Coast University Hospital"
"Gold Coast",153.4277,-27.99114,26,"Gold Coast University Hospital",11,"Gold Coast University Hospital"
"Thargomindah",143.8229,-27.99583,346,"Princess Alexandra Hospital",421,"Roma Hospital"
"Boonah",152.6824,-27.9978,99,"Princess Alexandra Hospital",61,"Brain Injury Rehabilitation Unit"
"Canungra",153.1598,-28.01415,48,"Gold Coast University Hospital",33,"Gold Coast University Hospital"
"Allora",151.982,-28.03472,140,"Princess Alexandra Hospital",109,"Brain Injury Rehabilitation Unit"
"St George",148.5812,-28.03888,256,"Princess Alexandra Hospital",128,"Roma Hospital"
"Lower Beechmont",153.2516,-28.04105,40,"Gold Coast University Hospital",25,"Gold Coast University Hospital"
"Cunnamulla",145.6832,-28.06921,309,"Princess Alexandra Hospital",294,"Roma Hospital"
"Kooralbyn",152.8443,-28.08068,98,"Gold Coast University Hospital",76,"Gold Coast University Hospital"
"Beechmont",153.206,-28.09893,53,"Gold Coast University Hospital",38,"Gold Coast University Hospital"
"Springbrook",153.2644,-28.18766,15,"Gold Coast University Hospital",45,"Gold Coast University Hospital"
"Yangan",152.2107,-28.19552,119,"Princess Alexandra Hospital",110,"Brain Injury Rehabilitation Unit"
"Rathdowney",152.8635,-28.20976,107,"Princess Alexandra Hospital",81,"Gold Coast University Hospital"
"Warwick",152.0311,-28.21745,119,"Princess Alexandra Hospital",111,"Brain Injury Rehabilitation Unit"
"Inglewood",151.0795,-28.41751,153,"Princess Alexandra Hospital",180,"Brain Injury Rehabilitation Unit"
"Goondiwindi",150.3062,-28.54799,186,"Princess Alexandra Hospital",222,"Roma Hospital"
"Yelarbon",150.7524,-28.57416,186,"Princess Alexandra Hospital",206,"Brain Injury Rehabilitation Unit"
"Dirranbandi",148.2271,-28.5841,256,"Princess Alexandra Hospital",181,"Roma Hospital"
"Stanthorpe",151.9327,-28.65779,140,"Princess Alexandra Hospital",152,"Brain Injury Rehabilitation Unit"
"Johnstone",148.5382,-28.6787,256,"Princess Alexandra Hospital",178,"Roma Hospital"
"Smithfield",145.690172,-16.83142,153,"Townsville Hospital",210,"Brain Injury Rehabilitation Unit"
"Texas",151.1692,-28.85306,165,"Princess Alexandra Hospital",204,"Brain Injury Rehabilitation Unit"
"Wallangarra",151.9262,-28.92345,165,"Princess Alexandra Hospital",177,"Brain Injury Rehabilitation Unit"
"Birdsville",139.3551,-25.8978,333,"Princess Alexandra Hospital",605,"Roma"
"Durham",141.811455,-27.397056,346,"Princess Alexandra Hospital",447,"Longreach"
"Hungerford",144.409847,-28.996741,346,"Princess Alexandra Hospital",417,"Longreach"
"RBWH",153.0285,-27.447,0,"",0,""
